,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price,lat,long
513,"4306 Nottinghill DriveAtlanta, GA 30331",30331,Fulton,5.0,2.5,1709.0,0.028,2000,,1526,3000.0,2,269900,33.6948502,-84.53474109999999
514,"1758 S Alvardo TerraceAtlanta, GA 30311",30311,Fulton,4.0,2.0,1665.0,0.21,1951,,3168,0.0,2,269900,33.7293785,-84.44563450000001
515,"59 NW Helena AvenueAtlanta, GA 30314",30314,Fulton,3.0,1.0,2100.0,0.18,1955,,1177,0.0,2,269900,33.7532885,-84.44698799999999
516,"764 Rochelle Dr SwAtlanta, GA 30310",30310,Fulton,,,,0.53,1960,,4939,0.0,2,269900,33.7343945,-84.4333747
517,"6851 Roswell Road NE Unit: H12Atlanta, GA 30327",30327,Fulton,2.0,2.0,,0.277,1964,6.0,769,0.0,2,269999,33.9417217,-84.3710926
518,"2249 Brannen Road SEAtlanta, GA 30316",30316,DeKalb,3.0,1.0,1075.0,0.2,1955,,2735,0.0,2,270000,33.7153732,-84.3122497
519,"1469 Jonesboro Road SEAtlanta, GA 30315",30315,Fulton,,,,0.057,1980,,2894,0.0,2,270000,33.7143701,-84.38325859999999
520,"400 W Peachtree Street NW Unit: 3207Atlanta, GA 30308",30308,Fulton,1.0,1.0,730.0,0.017,2007,7.0,4396,3000.0,2,270000,33.7651344,-84.3881936
521,"1402 N Crossing NEAtlanta, GA 30329",30329,DeKalb,2.0,2.0,1300.0,,1984,5.0,4127,4824.0,2,270000,33.8221182,-84.3216697
522,"6058 Rockaway RoadAtlanta, GA 30349",30349,Fulton,3.0,2.5,,0.015,2020,3.0,3700,2100.0,2,270000,33.5819103,-84.4741322
523,"6058 Rockaway RoadAtlanta, GA 30349",30349,Fulton,,,,0.015,2020,3.0,3700,2100.0,2,270000,33.5819103,-84.4741322
524,"711 Cosmopolitan Drive  Unit: TL1Atlanta, GA 30324",30324,Fulton,1.0,1.5,855.0,0.02,2009,6.0,4079,4500.0,2,270000,33.8214347,-84.3626049
525,"881 Mcwilliams Road SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,,0.291,1920,,4198,0.0,2,270000,33.6884811,-84.3614576
526,"391 S Bend Avenue SEAtlanta, GA 30315",30315,Fulton,3.0,3.0,1241.0,0.195,1920,4.0,3479,0.0,2,271000,33.7054116,-84.3757052
527,"2812 VININGS CENTRAL  Unit: 152Atlanta, GA 30339",30339,Cobb,2.0,2.0,1350.0,0.145,1986,5.0,678,532.0,2,272500,33.8420689,-84.478741
528,"3991 ADAMSVILLEAtlanta, GA 30331",30331,Fulton,3.0,2.0,,0.298,1964,,43,0.0,2,273000,33.7595402,-84.5054158
529,"1012 Thomasville Estate CourtAtlanta, GA 30315",30315,Fulton,4.0,2.0,1131.0,0.61,2009,,1364,0.0,2,273000,33.6950896,-84.3555399
530,"1009 Peeples Street SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,1000.0,0.131,1920,,1646,0.0,2,274000,33.7276085,-84.42274429999999
531,"1359 Elizabeth Avenue SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,1495.0,0.138,1950,,2481,0.0,2,274900,33.7173159,-84.4358314
